Sampler	Dose	Replicate	Efficiency
Cub	Low	1	49.20%
Cub	Low	2	44.70%
Cub	Low	3	48.90%
Cub	High	1	53.70%
Cub	High	2	45.90%
Cub	High	3	43.80%
AerosolSense	Low	1	2.40%
AerosolSense	Low	2	0.80%
AerosolSense	Low	3	2.60%
AerosolSense	High	1	6.60%
AerosolSense	High	2	2.10%
AerosolSense	High	3	4.10%
Apollo	Low	1	1.70%
Apollo	Low	2	2.30%
Apollo	Low	3	1.80%
Apollo	High	1	1.10%
Apollo	High	2	1.20%
Apollo	High	3	1.20%
Inkfish	Low	1	2.00%
Inkfish	Low	2	1.70%
Inkfish	Low	3	1.10%
Inkfish	High	1	2.10%
Inkfish	High	2	1.10%
Inkfish	High	3	0.80%
