,"UUT = Unit Under Test (Cub, Apollo, etc)",,,,,,,,,,,,,,,,,,,,,
,Entered Data,,,,,,,,,,,,,,,,,,,,,
,Calculated Values,,,,,,,,,,,,,,,,,,,,,
,,,APS Measurements,,,,,Reference Sampler Measurements,,,,,,Recoverd Measurements,,,,,Efficiency Calculations,,,
,Start,End,Collection Duration (min),,Liters of Air Measured (L),Particle Count Totals (#),APS Concentration (#/L),Reference Flowrate SKC 1 (L/min),Reference Flowrate SKC 2 (L/min),Reference Particles Captured (#/ml),Reference Fluid Volume (ml),Reference Total Particles Available (#),Reference Concentration (#/L),UUT Volume Sampled (L),Particles Eluted from UUT (#/ml),Elution Fluid Volume (ml),UUT Total Particles Captured & Eluted (#),UUT Concentration (#/L),"Combined Capture & Elution Efficiency, APS (%)","Combined Capture & Elution Efficiency, Reference (%)",,
Cub Blank,11:00 AM,11:10 AM,,,,,#DIV/0!,,,,,0.00E+00,#DIV/0!,2000,0.00E+00,,0.00E+00,0.00E+00,ND,#DIV/0!,,
Cub Run 26,11:15 AM,11:25 AM,10,,13.773,753338,5.47E+04,10,10,0.00E+00,17.94725,0.00E+00,0.00E+00,2000,7.50E+06,5.984,4.49E+07,2.25E+04,41.0%,ND,46.8%,
Cub Run 27,11:28 AM,11:38 AM,10,,12.785,626199,4.90E+04,11,11,0.00E+00,18.21475,0.00E+00,0.00E+00,2000,8.70E+06,5.852,5.09E+07,2.55E+04,52.0%,ND,,
Cub Run 28,11:41 AM,11:51 AM,10,,11.813,621318,5.26E+04,11,11,0.00E+00,18.2946,0.00E+00,0.00E+00,2000,8.56E+06,5.8089,4.97E+07,2.49E+04,47.3%,ND,,
Cub Run 29,2:29 PM,2:39 PM,10,,11.832,1226139,1.04E+05,10,10,0.00E+00,18.77,0.00E+00,0.00E+00,2000,1.96E+07,6.0212,1.18E+08,5.90E+04,56.9%,ND,56.7%,
Cub Run 30,2:44 PM,2:54 PM,10,,12.835,1138488,8.87E+04,11,11,1.96E+05,18.74035,3.67E+06,3.33E+04,2000,1.96E+07,6.0341,1.18E+08,5.92E+04,66.7%,177.5%,,
Cub Run 31,2:56 PM,3:06 PM,10,,11.835,1210641,1.02E+05,10,10,0.00E+00,18.7902,0.00E+00,0.00E+00,2000,1.52E+07,6.2857,9.54E+07,4.77E+04,46.6%,ND,,
AerosolSense Blank,,,,,,,#DIV/0!,,,,,0.00E+00,#DIV/0!,,,,0.00E+00,#DIV/0!,#DIV/0!,#DIV/0!,,
AS Run 32,10:44 AM,10:54 AM,13,,11.823,540361,4.57E+04,10,10,0.00E+00,17.9537,0.00E+00,0.00E+00,2000,9.82E+05,0.9326,9.16E+05,4.58E+02,1.0%,ND,0.6%,
AS Run 33,11:02 AM,11:12 AM,10,,12.85,599129,4.66E+04,0,11,0.00E+00,18.949,0.00E+00,0.00E+00,2000,3.84E+05,0.9502,3.65E+05,1.82E+02,0.4%,ND,,
AS Run 34,11:17 AM,11:27 AM,10,,12.813,621058,4.85E+04,11,11,0.00E+00,18.1747,0.00E+00,0.00E+00,2000,4.28E+05,0.9387,4.02E+05,2.01E+02,0.4%,ND,,
AS Run 35,2:57 PM,3:07 PM,10,,12.863,1307403,1.02E+05,10,9.8,0.00E+00,18.69585,0.00E+00,0.00E+00,2000,1.27E+06,0.9168,1.16E+06,5.82E+02,0.6%,ND,0.4%,
AS Run 36,3:09 PM,3:19 PM,10,,11.852,1189731,1.00E+05,11,11,0.00E+00,18.11225,0.00E+00,0.00E+00,2000,7.38E+05,0.9379,6.93E+05,3.46E+02,0.3%,ND,,
AS Run 37,3:22 PM,3:32 PM,10,,11.85,1172435,9.89E+04,11,11,2.01E+05,18.49085,3.72E+06,3.38E+04,2000,5.61E+05,0.9178,5.15E+05,2.57E+02,0.3%,0.8%,,
AP Blank,,,,,,,#DIV/0!,,,,,0.00E+00,#DIV/0!,,,,0.00E+00,#DIV/0!,#DIV/0!,#DIV/0!,,
AP Run 38,10:30 AM,10:40 AM,10,,11.893,686151,5.77E+04,10,9.7,4.90E+05,18.06085,8.85E+06,8.99E+04,2700,3.58E+06,0.8553,3.06E+06,1.13E+03,2.0%,1.3%,1.8%,
AP Run 39,10:43 AM,10:53 AM,10,,10.892,617398,5.67E+04,11,11,0.00E+00,18.1309,0.00E+00,0.00E+00,2700,3.05E+06,0.8768,2.67E+06,9.90E+02,1.7%,ND,,
AP Run 40,10:56 AM,11:06 AM,10,,11.895,617892,5.19E+04,11,11,0.00E+00,18.09455,0.00E+00,0.00E+00,2700,2.78E+06,0.9215,2.56E+06,9.49E+02,1.8%,ND,,
AP Run 41,1:43 PM,1:53 PM,10,,12.878,1410543,1.10E+05,10,0,0.00E+00,19.17265,0.00E+00,0.00E+00,2700,5.03E+06,0.896,4.51E+06,1.67E+03,1.5%,ND,1.3%,
AP Run 42,1:56 PM,2:06 PM,10,,11.9,1471220,1.24E+05,11,11,1.90E+05,18.35295,3.49E+06,3.17E+04,2700,3.85E+06,0.877,3.38E+06,1.25E+03,1.0%,3.9%,,
AP Run 43,2:09 PM,2:19 PM,10,,12.867,1432142,1.11E+05,11,11,2.10E+05,18.6141,3.90E+06,3.55E+04,2700,4.58E+06,0.8818,4.04E+06,1.50E+03,1.3%,4.2%,,
IKF Blank,,,,,,,#DIV/0!,,,,,0.00E+00,#DIV/0!,,,,0.00E+00,#DIV/0!,#DIV/0!,#DIV/0!,,
IKF Run 44,10:36 AM,10:46 AM,10,,10.857,509809,4.70E+04,10,9.6,0.00E+00,18.4863,0.00E+00,0.00E+00,1400,0.00E+00,0.9219,0.00E+00,0.00E+00,ND,ND,0,
IKF Run 45,10:51 AM,11:01 AM,10,,11.825,618272,5.23E+04,11,11,0.00E+00,18.66705,0.00E+00,0.00E+00,1400,0.00E+00,0.9305,0.00E+00,0.00E+00,ND,ND,,
IKF Run 46,11:06 AM,11:16 AM,10,,11.838,681850,5.76E+04,11,11,0.00E+00,18.2349,0.00E+00,0.00E+00,1400,0.00E+00,0.9422,0.00E+00,0.00E+00,ND,ND,,
IKF Run 47,2:31 PM,2:41 PM,10,,13.805,1355797,9.82E+04,10,9.7,1.82E+05,18.1805,3.31E+06,3.36E+04,1400,5.17E+05,0.9277,4.79E+05,3.42E+02,0.3%,1.0%,0.5%,
IKF Run 48,2:44 PM,2:54 PM,10,,11.825,1355814,1.15E+05,11,11,2.48E+05,18.45245,4.58E+06,4.17E+04,1400,8.27E+05,0.8874,7.34E+05,5.24E+02,0.5%,1.3%,,
IKF Run 49,2:57 PM,3:07 PM,10,,11.842,1242148,1.05E+05,11,11,3.01E+05,18.6978,5.63E+06,5.12E+04,1400,1.16E+06,0.915,1.06E+06,7.58E+02,0.7%,1.5%,,
