,"UUT = Unit Under Test (Cub, Apollo, etc)",,,,,,,,,,,,,,,,,,,,,
,Entered Data,,,,,,,,,,,,,,,,,,,,,
,Calculated Values,,,,,,,,,,,,,,,,,,,,,
,,,APS Measurements,,,,,Reference Sampler Measurements,,,,,,Recoverd Measurements,,,,,Efficiency Calculations,,,
,Start,End,Collection Duration (min),,Liters of Air Measured (L),Particle Count Totals (#),APS Concentration (#/L),Reference Flowrate SKC 1 (L/min),Reference Flowrate SKC 2 (L/min),Reference Particles Captured (#/ml),Reference Fluid Volume (ml),Reference Total Particles Available (#),Reference Concentration (#/L),UUT Volume Sampled (L),Particles Eluted from UUT (#/ml),Elution Fluid Volume (ml),UUT Total Particles Captured & Eluted (#),UUT Concentration (#/L),"Combined Capture & Elution Efficiency, APS (%)","Combined Capture & Elution Efficiency, Reference (%)",,
"Cub Run 0, Blank 1",12:45 PM,12:55 PM,10,,10.827,84,7.76E+00,,,,,0.00E+00,#DIV/0!,2000,0.00E+00,6.226,0.00E+00,0.00E+00,0.0%,#DIV/0!,,
Cub Run 1,12:57 PM,1:10 PM,10,,13.79,351780,2.55E+04,11,11,1.38E+05,26.10755,3.60E+06,3.27E+04,2000,4.21E+06,5.9571,2.51E+07,1.25E+04,49.2%,38.3%,47.6%,
Cub Run 2,1:15 PM,1:25 PM,10,,12.795,416364,3.25E+04,11,11,1.66E+05,18.39185,3.05E+06,2.78E+04,2000,4.76E+06,6.1101,2.91E+07,1.46E+04,44.7%,52.4%,,
Cub Run 3,1:28 PM,1:38 PM,10,,11.833,368567,3.11E+04,11,11,1.73E+05,17.8428,3.08E+06,2.80E+04,2000,5.07E+06,6.0111,3.05E+07,1.52E+04,48.9%,54.4%,,
Cub Run 5,3:03 PM,3:13 PM,10,,15.743,839177,5.33E+04,9.6,9.6,2.09E+05,18.9156,3.95E+06,4.12E+04,2000,9.69E+06,5.9118,5.73E+07,2.86E+04,53.7%,69.6%,47.8%,
Cub Run 6,3:17 PM,3:27 PM,10,,12.82,835990,6.52E+04,11,11,2.44E+05,18.53565,4.53E+06,4.12E+04,2000,1.04E+07,5.7733,5.99E+07,2.99E+04,45.9%,72.8%,,
Cub Run 7,3:31 PM,3:41 PM,10,,12.8,859748,6.72E+04,11,11,2.45E+05,18.671,4.58E+06,4.16E+04,2000,1.12E+07,5.2343,5.88E+07,2.94E+04,43.8%,70.7%,,
"AerosolSense, Blank 2",,,,,,,#DIV/0!,,,,,0.00E+00,#DIV/0!,2000,,,0.00E+00,0.00E+00,#DIV/0!,#DIV/0!,,
AerosolSense Run 8,9:46 AM,9:56 AM,10,,13.725,388995,2.83E+04,10,10,1.45E+05,18.2984,2.65E+06,2.65E+04,2000,1.56E+06,0.8673,1.36E+06,6.79E+02,2.4%,2.6%,1.9%,
AerosolSense Run 9,9:59 AM,10:09 AM,10,,12.752,357931,2.81E+04,10,10,1.47E+05,18.27685,2.68E+06,2.68E+04,2000,5.14E+05,0.9188,4.72E+05,2.36E+02,0.8%,0.9%,,
AerosolSense Run 10,10:12 AM,10:22 AM,10,,12.752,313427,2.46E+04,11,11,1.49E+05,18.10935,2.70E+06,2.45E+04,2000,1.42E+06,0.8945,1.27E+06,6.37E+02,2.6%,2.6%,,
