Sampler,Dose,replicate,rod_percent,average_percent,x_position,point_color,included_in_plot
AerosolSense,Low,1,1.0,0.6,-0.11,#1f3cff,True
AerosolSense,Low,2,0.4,0.6,-0.33,#1f3cff,True
AerosolSense,Low,3,0.4,0.6,-0.25,#1f3cff,True
AerosolSense,High,1,0.6,0.4,0.33,#ff1a1a,True
AerosolSense,High,2,0.3,0.4,0.11,#ff1a1a,True
AerosolSense,High,3,0.3,0.4,0.19,#ff1a1a,True
Apollo,Low,1,1.0,0.9,0.89,#1f3cff,True
Apollo,Low,2,0.9,0.9,0.67,#1f3cff,True
Apollo,Low,3,0.9,0.9,0.75,#1f3cff,True
Apollo,High,1,0.8,0.7,1.33,#ff1a1a,True
Apollo,High,2,0.5,0.7,1.1099999999999999,#ff1a1a,True
Apollo,High,3,0.7,0.7,1.19,#ff1a1a,True
Cub,Low,1,41.0,46.8,1.67,#1f3cff,True
Cub,Low,2,52.0,46.8,1.8900000000000001,#1f3cff,True
Cub,Low,3,47.3,46.8,1.75,#1f3cff,True
Cub,High,1,56.9,56.7,2.1900000000000004,#ff1a1a,True
Cub,High,2,66.7,56.7,2.33,#ff1a1a,True
Cub,High,3,46.6,56.7,2.1100000000000003,#ff1a1a,True
