Sampler,Dose,replicate,rod_percent,average_percent,x_position,point_color,included_in_plot
AerosolSense,Low,1,2.4,1.9,-0.25,#1f3cff,True
AerosolSense,Low,2,0.8,1.9,-0.33,#1f3cff,True
AerosolSense,Low,3,2.6,1.9,-0.11,#1f3cff,True
AerosolSense,High,1,6.6,4.3,0.33,#ff1a1a,True
AerosolSense,High,2,2.1,4.3,0.11,#ff1a1a,True
AerosolSense,High,3,4.1,4.3,0.19,#ff1a1a,True
Apollo,Low,1,0.9,1.0,0.67,#1f3cff,True
Apollo,Low,2,1.2,1.0,0.89,#1f3cff,True
Apollo,Low,3,0.9,1.0,0.75,#1f3cff,True
Apollo,High,1,0.5,0.6,1.1099999999999999,#ff1a1a,True
Apollo,High,2,0.6,0.6,1.19,#ff1a1a,True
Apollo,High,3,0.6,0.6,1.33,#ff1a1a,True
Cub,Low,1,49.2,47.6,1.8900000000000001,#1f3cff,True
Cub,Low,2,44.7,47.6,1.67,#1f3cff,True
Cub,Low,3,48.9,47.6,1.75,#1f3cff,True
Cub,High,1,53.7,47.8,2.31,#ff1a1a,True
Cub,High,2,45.9,47.8,2.2,#ff1a1a,True
Cub,High,3,43.8,47.8,2.1300000000000003,#ff1a1a,True
