Sampler,Dose,replicate,rod_percent,average_percent,x_position,point_color,included_in_plot
AerosolSense,Low,1,2.7,4.7,-0.33,#1f3cff,True
AerosolSense,Low,2,4.1,4.7,-0.25,#1f3cff,True
AerosolSense,Low,3,7.2,4.7,-0.11,#1f3cff,True
AerosolSense,High,1,3.1,3.4,0.19,#ff1a1a,True
AerosolSense,High,2,2.9,3.4,0.11,#ff1a1a,True
AerosolSense,High,3,4.3,3.4,0.33,#ff1a1a,True
Apollo,Low,1,2.4,4.9,0.75,#1f3cff,True
Apollo,Low,2,1.6,4.9,0.67,#1f3cff,True
Apollo,Low,3,10.7,4.9,0.89,#1f3cff,True
Apollo,High,1,1.2,1.1,1.19,#ff1a1a,True
Apollo,High,2,0.5,1.1,1.1099999999999999,#ff1a1a,True
Apollo,High,3,1.7,1.1,1.33,#ff1a1a,True
Cub,Low,1,19.6,21.3,1.67,#1f3cff,True
Cub,Low,2,24.3,21.3,1.8900000000000001,#1f3cff,True
Cub,Low,3,19.9,21.3,1.75,#1f3cff,True
Cub,High,1,11.9,10.6,2.2,#ff1a1a,True
Cub,High,2,6.3,10.6,2.1300000000000003,#ff1a1a,True
Cub,High,3,13.5,10.6,2.31,#ff1a1a,True
