Sampler,Dose,replicate,rod_percent,average_percent,x_position,point_color,included_in_plot
AerosolSense,Low,1,10.7,8.1,-0.13,#1f3cff,True
AerosolSense,Low,2,4.8,8.1,-0.31,#1f3cff,True
AerosolSense,Low,3,8.9,8.1,-0.24,#1f3cff,True
AerosolSense,High,1,10.4,5.9,0.3,#ff1a1a,True
AerosolSense,High,2,1.3,5.9,0.14,#ff1a1a,True
AerosolSense,High,3,,5.9,0.22,#ff1a1a,False
Apollo,Low,1,0.3,0.4,0.75,#1f3cff,True
Apollo,Low,2,0.7,0.4,0.89,#1f3cff,True
Apollo,Low,3,0.1,0.4,0.67,#1f3cff,True
Apollo,High,1,0.4,0.4,1.19,#ff1a1a,True
Apollo,High,2,0.5,0.4,1.33,#ff1a1a,True
Apollo,High,3,0.2,0.4,1.1099999999999999,#ff1a1a,True
Cub,Low,1,12.0,11.4,1.75,#1f3cff,True
Cub,Low,2,7.7,11.4,1.67,#1f3cff,True
Cub,Low,3,14.5,11.4,1.8900000000000001,#1f3cff,True
Cub,High,1,55.3,29.7,2.33,#ff1a1a,True
Cub,High,2,30.0,29.7,2.1900000000000004,#ff1a1a,True
Cub,High,3,3.7,29.7,2.1100000000000003,#ff1a1a,True
